dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5985476,5033120,4989066,5983443,5033106,4989072,5983908,5033104,4989058,5985808,5033096,4989062,5982542,5033096,4989052,5983684,5033084,4989044,5982856,5033078,4989048,5984781,5033078,4989052,5983740,5033080,4989036,5983804,5033086,4989032
256,5999380,5059308,5015646,6001860,5059316,5015657,6001965,5059310,5015634,6002191,5059312,5015639,6001055,5059308,5015640,6000214,5059304,5015622,6001386,5059320,5015628,6001432,5059312,5015630,6002376,5059306,5015640,6001426,5059308,5015634
512,6020694,5085524,5042214,6019827,5085531,5042210,6019502,5085514,5042204,6018188,5085527,5042192,6020832,5085516,5042206,6018381,5085527,5042200,6018988,5085512,5042194,6019652,5085512,5042188,6018794,5085514,5042208,6019466,5085520,5042208
768,6038811,5111708,5068746,6038737,5111694,5068740,6037030,5111700,5068730,6040152,5111690,5068738,6037888,5111704,5068728,6037584,5111692,5068718,6037771,5111688,5068722,6039038,5111702,5068746,6037471,5111700,5068730,6038189,5111708,5068736
1024,6056390,5137914,5095316,6055333,5137932,5095310,6056764,5137926,5095307,6056786,5137910,5095307,6057181,5137902,5095306,6057214,5137920,5095297,6056941,5137902,5095297,6056416,5137908,5095303,6056672,5137924,5095303,6054278,5137906,5095302
1280,6074269,5164122,5121874,6075403,5164130,5121874,6075725,5164126,5121870,6073048,5164128,5121860,6074850,5164118,5121874,6073625,5164118,5121864,6073562,5164118,5121872,6075524,5164112,5121858,6074500,5164110,5121860,6073918,5164118,5121864
1536,6090890,5190348,5148441,6092356,5190347,5148443,6091480,5190357,5148446,6092752,5190344,5148452,6090998,5190348,5148452,6092416,5190340,5148441,6091796,5190356,5148448,6091850,5190349,5148450,6092142,5190355,5148438,6092385,5190346,5148454
1792,6110324,5216527,5174988,6111805,5216536,5174968,6110544,5216520,5174978,6109966,5216508,5174974,6111066,5216523,5174976,6110891,5216530,5174962,6111476,5216527,5174968,6109596,5216512,5174968,6108702,5216521,5174958,6111420,5216514,5174972
2048,6129425,5242744,5201547,6128650,5242747,5201559,6127870,5242732,5201559,6127194,5242733,5201552,6128142,5242739,5201550,6128961,5242733,5201547,6128391,5242740,5201547,6128680,5242743,5201548,6129548,5242750,5201542,6128650,5242732,5201539
2304,6146340,5268973,5228122,6147246,5268971,5228118,6146262,5268970,5228116,6148119,5268958,5228114,6146556,5268968,5228128,6146614,5268962,5228126,6145898,5268977,5228124,6148582,5268962,5228132,6146458,5268965,5228128,6146331,5268957,5228118
2560,6163950,5295192,5254701,6166196,5295185,5254698,6163562,5295178,5254696,6166721,5295179,5254691,6164004,5295182,5254685,6165058,5295169,5254679,6164938,5295181,5254692,6165817,5295190,5254696,6166522,5295167,5254687,6163661,5295170,5254693
2816,6182610,5321359,5281238,6184226,5321364,5281224,6184345,5321367,5281222,6184078,5321379,5281236,6183352,5321368,5281250,6182852,5321382,5281236,6183906,5321362,5281236,6183792,5321377,5281240,6184573,5321380,5281230,6182690,5321380,5281238
3072,6200116,5347606,5307816,6201220,5347610,5307817,6201741,5347598,5307812,6202890,5347602,5307817,6200746,5347596,5307813,6202534,5347594,5307813,6202370,5347600,5307817,6202756,5347594,5307819,6201304,5347596,5307810,6203044,5347594,5307812
3328,6220386,5373842,5334422,6221094,5373846,5334432,6218026,5373864,5334419,6219212,5373868,5334425,6218488,5373858,5334433,6220344,5373859,5334435,6219806,5373860,5334425,6218450,5373860,5334436,6219147,5373856,5334433,6219960,5373860,5334422
3584,6237918,5400083,5361000,6236396,5400084,5361002,6236976,5400081,5361004,6239356,5400082,5361004,6236770,5400081,5361006,6239532,5400079,5361006,6238082,5400085,5361006,6238210,5400074,5361000,6238516,5400084,5360998,6238865,5400079,5361000
3840,6256534,5426262,5387528,6255776,5426255,5387532,6257061,5426256,5387540,6255878,5426238,5387536,6256060,5426255,5387522,6255785,5426255,5387536,6257966,5426262,5387520,6255676,5426250,5387522,6255790,5426248,5387526,6256010,5426259,5387532
4096,6273891,5452490,5414116,6275132,5452487,5414099,6276235,5452478,5414110,6273968,5452490,5414118,6275528,5452492,5414128,6274822,5452490,5414110,6273452,5452501,5414114,6274161,5452480,5414114,6275507,5452489,5414116,6275596,5452487,5414126
