dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,6024994,5055054,5010348,6023274,5055042,5010335,6026036,5055030,5010317,6024080,5055015,5010324,6023155,5055010,5010324
1024,6095999,5159176,5115946,6094809,5159160,5115932,6096515,5159166,5115940,6097252,5159170,5115936,6095720,5159154,5115929
2048,6167204,5263332,5221584,6168648,5263333,5221575,6169864,5263331,5221575,6169675,5263332,5221580,6168513,5263333,5221584
3072,6240115,5367500,5327193,6238798,5367492,5327186,6240514,5367482,5327197,6240194,5367482,5327190,6240070,5367485,5327188
4096,6310977,5471648,5432795,6313863,5471652,5432800,6310582,5471647,5432801,6313439,5471654,5432807,6312827,5471648,5432800
5120,6383857,5575819,5538407,6384888,5575831,5538406,6384240,5575832,5538392,6383376,5575833,5538403,6384582,5575829,5538401
6144,6456327,5680004,5643962,6454862,5680002,5643955,6457016,5680008,5643961,6456548,5679996,5643952,6456448,5680008,5643942
7168,6528103,5784189,5749563,6527732,5784187,5749546,6527223,5784188,5749555,6526865,5784191,5749558,6528016,5784207,5749553
8192,6600674,5888365,5855137,6601175,5888359,5855130,6599061,5888365,5855140,6600801,5888363,5855145,6600519,5888370,5855131
9216,6672577,5992544,5960734,6672038,5992530,5960747,6672449,5992525,5960734,6672673,5992538,5960744,6672773,5992546,5960749
10240,6744807,6096755,6066370,6742529,6096745,6066371,6743002,6096750,6066348,6743729,6096738,6066363,6744316,6096733,6066360
11264,6815600,6200882,6171915,6815693,6200895,6171904,6816104,6200899,6171911,6815382,6200910,6171903,6815612,6200894,6171913
12288,6888688,6305080,6277473,6887911,6305083,6277464,6886429,6305076,6277464,6889483,6305087,6277466,6889191,6305104,6277473
13312,6960612,6409248,6383025,6960160,6409243,6383029,6958961,6409255,6383029,6959609,6409262,6383025,6960103,6409251,6383017
14336,7034212,6513406,6488538,7031813,6513411,6488544,7031533,6513402,6488537,7030147,6513405,6488546,7033249,6513400,6488532
15360,7103967,6617555,6594064,7103917,6617551,6594054,7104040,6617567,6594070,7104490,6617565,6594070,7105294,6617558,6594061
16384,7176113,6721749,6699622,7176212,6721751,6699617,7174897,6721752,6699625,7176011,6721736,6699613,7175360,6721745,6699611
17408,7247621,6825910,6805135,7247631,6825917,6805142,7245881,6825915,6805133,7246367,6825924,6805126,7248041,6825921,6805136
18432,7319526,6930094,6910667,7318907,6930085,6910670,7319162,6930095,6910678,7321057,6930090,6910666,7319596,6930083,6910666
19456,7390150,7034246,7016175,7393233,7034256,7016185,7392078,7034251,7016180,7391719,7034255,7016180,7390681,7034251,7016188
20480,7462936,7138415,7121700,7463720,7138419,7121694,7462304,7138419,7121690,7463120,7138409,7121696,7464076,7138419,7121690
21504,7535960,7242577,7227206,7534595,7242590,7227198,7535716,7242576,7227202,7536519,7242581,7227196,7535757,7242584,7227206
22528,7605637,7346740,7332673,7605830,7346758,7332690,7607618,7346733,7332689,7606571,7346753,7332690,7604578,7346744,7332679
23552,7679678,7450917,7438214,7678847,7450923,7438204,7678823,7450930,7438204,7677687,7450931,7438209,7680058,7450932,7438202
24576,7750025,7555096,7543712,7752757,7555106,7543715,7750070,7555109,7543722,7750722,7555106,7543719,7751427,7555103,7543734
25600,7824246,7659278,7649248,7822745,7659270,7649255,7821511,7659279,7649255,7822914,7659272,7649260,7823179,7659281,7649264
26624,7894823,7763422,7754745,7894083,7763426,7754751,7897439,7763416,7754751,7897017,7763436,7754747,7895376,7763431,7754751
27648,7965465,7867588,7860257,7967235,7867591,7860248,7966199,7867588,7860253,7966769,7867594,7860249,7968734,7867594,7860250
28672,8038830,7971751,7965737,8039136,7971739,7965737,8038500,7971742,7965737,8039800,7971740,7965740,8039202,7971744,7965743
29696,8109427,8075906,8071246,8111529,8075923,8071248,8110101,8075912,8071232,8108536,8075908,8071249,8110563,8075914,8071249
30720,8182300,8180075,8176748,8181404,8180076,8176753,8184522,8180070,8176748,8183208,8180077,8176735,8184671,8180075,8176746
31744,8255861,8284281,8282275,8256652,8284278,8282266,8256265,8284285,8282284,8255004,8284268,8282273,8254001,8284275,8282289
32768,8327429,8388418,8387769,8326959,8388420,8387778,8327001,8388422,8387778,8325962,8388418,8387773,8327739,8388425,8387781
33792,8398624,8492617,8493281,8398233,8492602,8493292,8399502,8492605,8493291,8397563,8492603,8493298,8399470,8492594,8493289
34816,8470085,8596750,8598767,8471036,8596748,8598777,8470911,8596752,8598795,8470698,8596757,8598774,8470605,8596748,8598777
35840,8540729,8700893,8704262,8542791,8700896,8704261,8542752,8700886,8704255,8541539,8700886,8704257,8540104,8700893,8704270
36864,8613761,8805065,8809789,8614279,8805083,8809782,8615415,8805080,8809772,8613415,8805079,8809794,8615237,8805076,8809787
37888,8686386,8909210,8915264,8685639,8909208,8915277,8684573,8909219,8915272,8687867,8909218,8915263,8687725,8909232,8915266
38912,8759111,9013386,9020804,8757910,9013389,9020801,8757815,9013391,9020806,8758197,9013395,9020794,8758860,9013397,9020796
39936,8829530,9117543,9126299,8830205,9117555,9126298,8829725,9117547,9126310,8831377,9117548,9126298,8830678,9117548,9126313
40960,8901782,9221695,9231824,8901594,9221709,9231814,8901894,9221694,9231807,8902153,9221701,9231814,8903212,9221707,9231817
41984,8975377,9325857,9337336,8973255,9325856,9337342,8972833,9325862,9337325,8974029,9325861,9337321,8974245,9325872,9337329
43008,9046928,9430016,9442853,9044991,9430007,9442842,9047981,9430020,9442851,9046141,9430022,9442844,9046596,9430022,9442848
44032,9116352,9534187,9548405,9118413,9534197,9548404,9118673,9534188,9548404,9117429,9534188,9548395,9116136,9534193,9548392
45056,9189243,9638343,9653952,9191787,9638355,9653953,9189357,9638355,9653936,9187982,9638344,9653955,9187502,9638354,9653954
46080,9261112,9742526,9759501,9262488,9742531,9759514,9261708,9742524,9759506,9263295,9742527,9759516,9261337,9742524,9759506
47104,9332261,9846683,9865067,9332376,9846700,9865066,9333766,9846701,9865050,9333913,9846704,9865062,9333677,9846703,9865063
48128,9405151,9950852,9970619,9405000,9950861,9970625,9407007,9950878,9970614,9405878,9950873,9970619,9406499,9950878,9970630
49152,9479191,10055035,10076120,9477753,10055033,10076136,9477356,10055033,10076127,9477925,10055042,10076115,9477605,10055045,10076137
50176,9548053,10159208,10181695,9548761,10159206,10181691,9549104,10159213,10181696,9548978,10159205,10181696,9549700,10159204,10181700
51200,9622669,10263354,10287236,9622016,10263364,10287248,9622366,10263346,10287244,9621860,10263349,10287245,9621092,10263348,10287246
52224,9693317,10367552,10392846,9694926,10367544,10392846,9693450,10367555,10392854,9694223,10367554,10392853,9693220,10367560,10392844
53248,9763685,10471686,10498407,9766202,10471701,10498421,9763360,10471698,10498409,9766541,10471683,10498408,9766435,10471692,10498409
54272,9835618,10575857,10604006,9837608,10575846,10604002,9836597,10575850,10603998,9837486,10575860,10604008,9837621,10575864,10604012
55296,9909258,10680017,10709580,9910010,10680006,10709595,9909248,10680003,10709595,9909828,10679998,10709595,9909059,10680009,10709581
56320,9981535,10784173,10815205,9981319,10784181,10815202,9981539,10784195,10815219,9980346,10784187,10815222,9980844,10784200,10815222
57344,10054722,10888353,10920840,10052451,10888353,10920839,10052940,10888357,10920833,10053417,10888362,10920844,10050083,10888355,10920850
58368,10123650,10992541,11026494,10123653,10992546,11026503,10125013,10992552,11026496,10126890,10992544,11026495,10124716,10992555,11026480
59392,10196294,11096706,11132137,10197861,11096719,11132131,10197313,11096706,11132133,10196815,11096708,11132130,10197052,11096700,11132131
