dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5956811,5055038,5010640,5955776,5055017,5010609,5956061,5055013,5010606,5957214,5055002,5010589,5955199,5055006,5010601,5956481,5054995,5010577,5955194,5054994,5010582,5957423,5054984,5010582,5956596,5054985,5010595,5955366,5054986,5010581
256,5975654,5081049,5037000,5972778,5081051,5037004,5974243,5081047,5036992,5973554,5081040,5037003,5974204,5081040,5037002,5974385,5081041,5037007,5973997,5081045,5037012,5974679,5081035,5037007,5973062,5081035,5037000,5974453,5081042,5036991
512,5992618,5107081,5063400,5993998,5107064,5063402,5991039,5107084,5063403,5993420,5107075,5063407,5990654,5107077,5063389,5993121,5107068,5063387,5993358,5107085,5063393,5992790,5107079,5063401,5992649,5107080,5063409,5991326,5107076,5063405
768,6009319,5133080,5089769,6008347,5133083,5089775,6010621,5133076,5089763,6010008,5133080,5089756,6009086,5133073,5089746,6009637,5133073,5089760,6009567,5133080,5089756,6010339,5133091,5089764,6009458,5133065,5089745,6009434,5133071,5089765
1024,6028851,5159123,5116151,6029563,5159126,5116159,6029477,5159110,5116155,6027689,5159109,5116158,6026389,5159111,5116155,6030127,5159109,5116159,6027950,5159112,5116163,6027903,5159110,5116157,6029103,5159103,5116148,6026291,5159106,5116139
1280,6045466,5185189,5142597,6046144,5185186,5142590,6046279,5185191,5142591,6045195,5185189,5142588,6046857,5185194,5142585,6046602,5185194,5142593,6045485,5185185,5142590,6045661,5185196,5142585,6046660,5185189,5142595,6044839,5185196,5142583
1536,6065580,5211231,5168993,6063012,5211228,5168990,6063731,5211229,5169002,6063847,5211234,5168991,6063950,5211232,5169003,6065984,5211233,5168986,6064272,5211226,5168989,6064304,5211240,5168997,6064450,5211229,5168971,6065271,5211233,5168977
1792,6081685,5237247,5195352,6080539,5237225,5195343,6081785,5237233,5195351,6082928,5237233,5195342,6081480,5237233,5195349,6081444,5237228,5195356,6080766,5237240,5195334,6082014,5237229,5195345,6082138,5237233,5195329,6081132,5237232,5195327
2048,6100772,5263273,5221747,6099842,5263278,5221749,6099445,5263284,5221749,6099588,5263274,5221759,6100679,5263271,5221745,6100845,5263274,5221756,6099485,5263280,5221751,6099888,5263282,5221745,6099383,5263272,5221745,6101158,5263280,5221745
2304,6118173,5289350,5248183,6118985,5289352,5248169,6118889,5289349,5248165,6117193,5289341,5248172,6118434,5289345,5248174,6118193,5289345,5248161,6117294,5289342,5248160,6119771,5289336,5248168,6117232,5289346,5248180,6118598,5289349,5248162
