0,5042023,3718741,5040616,3718760,5044199,3718746
2048,5247908,4016811,5247575,4016830,5247603,4016831
4096,5453599,4314974,5454660,4314946,5454364,4314959
6144,5661201,4613173,5660050,4613178,5659956,4613168
8192,5864772,4911417,5865009,4911431,5864095,4911444
10240,6071806,5209864,6072279,5209856,6072652,5209888
12288,6277310,5508422,6279179,5508408,6278959,5508430
14336,6482462,5807258,6483607,5807234,6483385,5807258
16384,6688944,6106254,6690345,6106257,6691553,6106244
18432,6898938,6405331,6896979,6405310,6896692,6405329
20480,7103627,6704467,7104088,6704434,7100818,6704447
22528,7307981,7003539,7307485,7003539,7309423,7003550
24576,7514149,7302637,7514019,7302615,7513939,7302603
26624,7720543,7601752,7720538,7601755,7721273,7601770
28672,7929770,7900871,7927965,7900877,7928232,7900865
30720,8134281,8199956,8135475,8199963,8134484,8199975
32768,8340952,8499070,8339687,8499060,8340827,8499060
34816,8545873,8798196,8543319,8798198,8548769,8798205
36864,8752052,9097332,8755005,9097327,8752354,9097331
38912,8958309,9396523,8960032,9396514,8960293,9396520
40960,9165710,9695588,9166537,9695607,9164479,9695589
43008,9372802,9994712,9370947,9994721,9370830,9994711
45056,9578626,10293799,9579322,10293821,9576393,10293808
47104,9783132,10592923,9783639,10592915,9783591,10592905
49152,9987392,10891979,9987925,10891979,9990030,10891985
51200,10195494,11191033,10196036,11191030,10197073,11191024
53248,10401851,11490005,10401340,11490004,10402813,11490022
55296,10609650,11789028,10607983,11789020,10607871,11789028
57344,10813151,12087880,10816214,12087875,10814585,12087862
59392,11021560,12386728,11019363,12386713,11022839,12386715
61440,11227970,12685569,11226789,12685553,11228750,12685572
63488,11434115,12984333,11434542,12984324,11432750,12984328
